"key","context","en","zh-CN","zh-TW","status"
"result.newBalance","Balance after settlement","New balance","新余额","新餘額","ai_draft"
"result.postingJade","Jade settlement posting status","Posting Jade settlement…","正在提交玉结算…","正在提交玉結算…","ai_draft"
"result.nextHand","Next hand category","Next hand","下一局","下一局","ai_draft"
"result.dealerRetains","Dealer continuation result","{dealer} remains dealer · continuation {count}","{dealer} 继续坐庄 · 连庄 {count}","{dealer} 繼續坐莊 · 連莊 {count}","ai_draft"
"result.dealerRotates","Dealer rotation result","Dealer rotates to {dealer}","庄家轮换为 {dealer}","莊家輪換為 {dealer}","ai_draft"
"result.matchId","Result match identifier label","Match ID","对局 ID","對局 ID","ai_draft"
"result.playAgain","Play another match action","Play Again","再玩一局","再玩一局","ai_draft"
"result.returnLobby","Return to lobby action","Return to Lobby","返回大厅","返回大廳","ai_draft"
"result.reportIssues","Report post-match issue action","Report Issues","报告问题","回報問題","ai_draft"
"result.jadeWorth","Scoring pattern value at the current table","{amount} Jade at this table","在本牌桌价值 {amount} 玉","在本牌桌價值 {amount} 玉","ai_draft"
"scoring.baseWin","Scoring pattern name","Base Win","基础胡牌","基礎胡牌","ai_draft"
"scoring.concealed","Scoring pattern name","Concealed","门清","門清","ai_draft"
"scoring.concealedZimo","Scoring pattern name","Concealed Zimo","门清自摸","門清自摸","ai_draft"
"scoring.fullyExposed","Scoring pattern name","Fully Exposed","全求人","全求人","ai_draft"
"scoring.allChows","Scoring pattern name","All Chows","全顺子","全順子","ai_draft"
"scoring.allPongs","Scoring pattern name","All Pongs","碰碰胡","碰碰胡","ai_draft"
"scoring.threeConcealedPongs","Scoring pattern name","Three Concealed Pongs","三暗刻","三暗刻","ai_draft"
"scoring.fourConcealedPongs","Scoring pattern name","Four Concealed Pongs","四暗刻","四暗刻","ai_draft"
"scoring.fiveConcealedPongs","Scoring pattern name","Five Concealed Pongs","五暗刻","五暗刻","ai_draft"
"scoring.halfFlush","Scoring pattern name","Half Flush","混一色","混一色","ai_draft"
"scoring.fullFlush","Scoring pattern name","Full Flush","清一色","清一色","ai_draft"
"scoring.allHonors","Scoring pattern name","All Honors","字一色","字一色","ai_draft"
"scoring.noHonorsFlowers","Scoring pattern name","No Honors or Flowers","无字无花","無字無花","ai_draft"
"scoring.seatWind","Scoring pattern name","Seat Wind Set","门风刻","門風刻","ai_draft"
"scoring.prevailingWind","Scoring pattern name","Prevailing Wind Set","圈风刻","圈風刻","ai_draft"
"scoring.smallThreeDragons","Scoring pattern name","Small Three Dragons","小三元","小三元","ai_draft"
"scoring.bigThreeDragons","Scoring pattern name","Big Three Dragons","大三元","大三元","ai_draft"
"scoring.smallFourWinds","Scoring pattern name","Small Four Winds","小四喜","小四喜","ai_draft"
"scoring.bigFourWinds","Scoring pattern name","Big Four Winds","大四喜","大四喜","ai_draft"
"scoring.concealedKong","Scoring pattern name","Concealed Kong","暗杠","暗槓","ai_draft"
"scoring.exposedKong","Scoring pattern name","Exposed/Added Kong","明杠／加杠","明槓／加槓","ai_draft"
"scoring.singleWait","Scoring pattern name","Single Wait","单骑听","單騎聽","ai_draft"
"scoring.replacementWin","Scoring pattern name","Win After Replacement","杠上开花","槓上開花","ai_draft"
"scoring.lastTileZimo","Scoring pattern name","Last Tile Zimo","海底捞月","海底撈月","ai_draft"
"scoring.robbingAddedKong","Scoring pattern name","Robbing an Added Kong","抢杠胡","搶槓胡","ai_draft"
"scoring.matchingFlower","Scoring pattern name","Matching Flower","正花","正花","ai_draft"
"scoring.completeFlowers","Scoring pattern name","Complete Flowers","四花齐","四花齊","ai_draft"
"scoring.completeSeasons","Scoring pattern name","Complete Seasons","四季齐","四季齊","ai_draft"
"scoring.eightFlowers","Scoring pattern name","Eight Flowers","八仙过海","八仙過海","ai_draft"
"scoring.earthlyHand","Scoring pattern name","Earthly Hand","地胡","地胡","ai_draft"
"scoring.baseWhat","Base Win guide definition","Every completed hand scores this. It is the floor, not a bonus.","每副完成的胡牌都会计入此项。这是基础分，并非额外奖励。","每副完成的胡牌都會計入此項。這是基礎分，並非額外獎勵。","ai_draft"
"scoring.baseBuild","Base Win guide strategy","Four sets and a pair. Everything else on this list is added on top, so the difference between a 1台 hand and a 10台 one is entirely what you build around it.","四组牌加一对将牌。列表中的其他项目都会在此基础上叠加，因此 1 台与 10 台手牌的差别完全取决于你围绕基础牌型构建了什么。","四組牌加一對將牌。列表中的其他項目都會在此基礎上疊加，因此 1 台與 10 台手牌的差別完全取決於你圍繞基礎牌型建立了什麼。","ai_draft"
"scoring.concealedWhat","Concealed guide definition","Won on a discard with nothing melded — the whole hand built in private.","没有任何副露，以对手弃牌胡牌——整副手牌都在暗中组成。","沒有任何副露，以對手棄牌胡牌——整副手牌都在暗中組成。","ai_draft"
"scoring.concealedBuild","Concealed guide strategy","Pass on Chow and Pong that only slightly improve the hand.","如果吃或碰只能小幅改善手牌，可以选择放弃。","如果吃或碰只能小幅改善手牌，可以選擇放棄。","ai_draft"
"scoring.concealedUpgrade","Concealed guide upgrade","Draw the winning tile yourself instead of taking a discard: 3台, not 1.","不靠弃牌而是自行摸到胡牌张：计 3 台，而非 1 台。","不靠棄牌而是自行摸到胡牌張：計 3 台，而非 1 台。","ai_draft"
"scoring.concealedCost","Concealed guide trade-off","Declining melds means a slower hand and more chances for someone else to win first.","拒绝副露会让成牌速度变慢，也会增加他人先胡牌的机会。","拒絕副露會讓成牌速度變慢，也會增加他人先胡牌的機會。","ai_draft"
"scoring.zimoWhat","Zimo guide definition","Self-drawn win. All three opponents pay, rather than one discarder.","自摸胡牌。由三名对手共同支付，而不是只由一名出铳者支付。","自摸胡牌。由三名對手共同支付，而不是只由一名放槍者支付。","ai_draft"
"scoring.zimoBuild","Zimo guide strategy","Nothing to build — it is how the winning tile arrives.","无需特意构建——它取决于胡牌张的到来方式。","無須特意建立——它取決於胡牌張的到來方式。","ai_draft"
"scoring.zimoUpgrade","Zimo guide upgrade","The same self-draw on an unmelded hand is worth 3台 instead of 1.","同样的自摸若手牌没有副露，则计 3 台而非 1 台。","同樣的自摸若手牌沒有副露，則計 3 台而非 1 台。","ai_draft"
"scoring.concealedZimoWhat","Concealed Zimo guide definition","Self-drawn win on a hand with nothing melded. The best of the routine wins.","没有任何副露并自摸胡牌，是常规胡牌中的高价值组合。","沒有任何副露並自摸胡牌，是常規胡牌中的高價值組合。","ai_draft"
"scoring.concealedZimoBuild","Concealed Zimo guide strategy","Keep the hand closed and draw your own tile.","保持门清，并自行摸到胡牌张。","保持門清，並自行摸到胡牌張。","ai_draft"
"scoring.concealedZimoCost","Concealed Zimo guide trade-off","Requires both patience and luck; a closed hand cannot be rescued by a discard.","既需要耐心也需要运气；门清手牌无法靠对手的弃牌来加速副露。","既需要耐心也需要運氣；門清手牌無法靠對手的棄牌來加速副露。","ai_draft"
"scoring.exposedWhat","Fully Exposed guide definition","Won on a discard with all five sets melded — the opposite approach to Concealed.","五组牌全部副露后以弃牌胡牌——与门清完全相反。","五組牌全部副露後以棄牌胡牌——與門清完全相反。","ai_draft"
"scoring.exposedBuild","Fully Exposed guide strategy","Take every Chow, Pong and Kong on offer and race to finish first.","抓住每次吃、碰、杠的机会，争取率先成牌。","抓住每次吃、碰、槓的機會，爭取率先成牌。","ai_draft"
"scoring.exposedCost","Fully Exposed guide trade-off","Every meld shows opponents what you are collecting, and the hand cannot score Concealed.","每次副露都会让对手看出你的目标，而且手牌无法再计门清。","每次副露都會讓對手看出你的目標，而且手牌無法再計門清。","ai_draft"
"scoring.allChowsWhat","All Chows guide definition","Every set is a run. The most common shape, and the cheapest.","每组牌都是顺子。这是最常见、台数最低的牌型。","每組牌都是順子。這是最常見、台數最低的牌型。","ai_draft"
"scoring.allChowsBuild","All Chows guide strategy","Collect consecutive tiles in the same suit.","收集同一花色的连续牌。","收集同一花色的連續牌。","ai_draft"
"scoring.allChowsUpgrade","All Chows guide upgrade","A hand of triplets instead of runs is worth double.","由刻子而非顺子组成的手牌价值翻倍。","由刻子而非順子組成的手牌價值翻倍。","ai_draft"
"scoring.allPongsWhat","All Pongs guide definition","Every set is a triplet or Kong. Double what runs pay.","每组牌都是刻子或杠子，价值是全顺子的两倍。","每組牌都是刻子或槓子，價值是全順子的兩倍。","ai_draft"
"scoring.allPongsBuild","All Pongs guide strategy","Pong pairs rather than chasing runs; keep pairs over lone tiles.","优先将对子碰成刻子，不要追求顺子；保留对子而非单张。","優先將對子碰成刻子，不要追求順子；保留對子而非單張。","ai_draft"
"scoring.allPongsUpgrade","All Pongs guide upgrade","Make those triplets by drawing rather than by claiming discards.","通过自摸而非鸣牌组成这些刻子。","透過自摸而非鳴牌組成這些刻子。","ai_draft"
"scoring.allPongsCost","All Pongs guide trade-off","Triplets need three of a kind, so the hand is narrower than a run-based one.","刻子需要三张相同的牌，因此成牌范围比顺子手牌更窄。","刻子需要三張相同的牌，因此成牌範圍比順子手牌更窄。","ai_draft"
"scoring.threeConcealedWhat","Three Concealed Pongs guide definition","Three triplets formed by drawing, not by claiming discards.","三个通过自摸而非鸣牌组成的刻子。","三個透過自摸而非鳴牌組成的刻子。","ai_draft"
"scoring.threeConcealedBuild","Three Concealed Pongs guide strategy","Draw into pairs instead of Ponging them.","对子尽量靠自摸补成刻子，而不是碰牌。","對子盡量靠自摸補成刻子，而不是碰牌。","ai_draft"
"scoring.threeConcealedUpgrade","Three Concealed Pongs guide upgrade","One more self-drawn triplet more than doubles this.","再增加一个自摸刻子，台数将超过两倍。","再增加一個自摸刻子，台數將超過兩倍。","ai_draft"
"scoring.fourConcealedWhat","Four Concealed Pongs guide definition","Four self-drawn triplets. A serious hand.","四个自摸组成的刻子，是一副高价值手牌。","四個自摸組成的刻子，是一副高價值手牌。","ai_draft"
"scoring.fourConcealedUpgrade","Four Concealed Pongs guide upgrade","A fifth concealed triplet takes it to 8台.","第五个暗刻会使其达到 8 台。","第五個暗刻會使其達到 8 台。","ai_draft"
"scoring.fiveConcealedWhat","Five Concealed Pongs guide definition","Every set a self-drawn triplet. One of the rarest routine hands.","每组牌都是自摸组成的刻子，是最罕见的常规手牌之一。","每組牌都是自摸組成的刻子，是最罕見的常規手牌之一。","ai_draft"
"scoring.halfFlushWhat","Half Flush guide definition","One numbered suit plus honour tiles.","一种数牌花色加上字牌。","一種數牌花色加上字牌。","ai_draft"
"scoring.halfFlushBuild","Half Flush guide strategy","Pick a suit early and discard the other two; keep honours.","尽早选定一种花色并舍弃另外两种，同时保留字牌。","儘早選定一種花色並捨棄另外兩種，同時保留字牌。","ai_draft"
"scoring.halfFlushUpgrade","Half Flush guide upgrade","The same hand with the honours removed is worth double.","同样的手牌去掉所有字牌后，价值翻倍。","同樣的手牌去掉所有字牌後，價值翻倍。","ai_draft"
"scoring.fullFlushWhat","Full Flush guide definition","One numbered suit and nothing else — no honours at all.","只包含一种数牌花色——完全没有字牌。","只包含一種數牌花色——完全沒有字牌。","ai_draft"
"scoring.fullFlushBuild","Full Flush guide strategy","Commit to a suit and discard every honour, however useful it looks.","专注一种花色，并舍弃所有字牌，无论它们看起来多么有用。","專注一種花色，並捨棄所有字牌，無論它們看起來多麼有用。","ai_draft"
"scoring.fullFlushCost","Full Flush guide trade-off","Opponents read a flush quickly from your discards and will hold your suit back.","对手会很快从弃牌看出你在做清一色，并扣住你需要的花色。","對手會很快從棄牌看出你在做清一色，並扣住你需要的花色。","ai_draft"
"scoring.allHonorsWhat","All Honors guide definition","No numbered tiles whatsoever — winds and dragons only.","完全没有数牌——只包含风牌和三元牌。","完全沒有數牌——只包含風牌和三元牌。","ai_draft"
"scoring.allHonorsBuild","All Honors guide strategy","Only realistic when the deal already favours it.","只有起手牌已经非常有利时才现实。","只有起手牌已經非常有利時才實際。","ai_draft"
"scoring.noHonorsWhat","No Honors or Flowers guide definition","A hand of numbered tiles alone, with no honours and no flowers scored.","手牌只含数牌，不含字牌，也不计花牌。","手牌只含數牌，不含字牌，也不計花牌。","ai_draft"
"scoring.noHonorsBuild","No Honors or Flowers guide strategy","Discard honours early and take no flower bonuses.","尽早舍弃字牌，并且不计任何花牌奖励。","儘早捨棄字牌，並且不計任何花牌獎勵。","ai_draft"
"scoring.seatWindWhat","Seat Wind Set guide definition","A triplet of your own seat wind.","由自己的门风牌组成的刻子。","由自己的門風牌組成的刻子。","ai_draft"
"scoring.seatWindBuild","Seat Wind Set guide strategy","Hold a pair of your seat wind — it is worth more to you than to anyone else.","保留一对自己的门风牌——它对你的价值高于其他玩家。","保留一對自己的門風牌——它對你的價值高於其他玩家。","ai_draft"
"scoring.prevailingWindWhat","Prevailing Wind Set guide definition","A triplet of the round's prevailing wind.","由本圈圈风牌组成的刻子。","由本圈圈風牌組成的刻子。","ai_draft"
"scoring.prevailingWindBuild","Prevailing Wind Set guide strategy","Stacks with Seat Wind Set when the two winds are the same.","当圈风与门风相同时，可与门风刻叠加。","當圈風與門風相同時，可與門風刻疊加。","ai_draft"
"scoring.smallDragonsWhat","Small Three Dragons guide definition","Two dragon triplets and a pair of the third.","两组三元牌刻子，加上第三种三元牌的一对。","兩組三元牌刻子，加上第三種三元牌的一對。","ai_draft"
"scoring.smallDragonsUpgrade","Small Three Dragons guide upgrade","Turn that dragon pair into a triplet and the value doubles.","将那对三元牌组成刻子，价值就会翻倍。","將那對三元牌組成刻子，價值就會翻倍。","ai_draft"
"scoring.bigDragonsWhat","Big Three Dragons guide definition","All three dragon triplets.","三种三元牌全部组成刻子。","三種三元牌全部組成刻子。","ai_draft"
"scoring.smallWindsWhat","Small Four Winds guide definition","Three wind triplets and a pair of the fourth.","三组风牌刻子，加上第四种风牌的一对。","三組風牌刻子，加上第四種風牌的一對。","ai_draft"
"scoring.smallWindsUpgrade","Small Four Winds guide upgrade","Complete the fourth wind triplet to double it again.","完成第四组风牌刻子，价值再次翻倍。","完成第四組風牌刻子，價值再次翻倍。","ai_draft"
"scoring.bigWindsWhat","Big Four Winds guide definition","All four wind triplets. Among the largest hands in the game.","四种风牌全部组成刻子，是游戏中价值最高的手牌之一。","四種風牌全部組成刻子，是遊戲中價值最高的手牌之一。","ai_draft"
"scoring.concealedKongWhat","Concealed Kong guide definition","Four identical tiles declared from your own hand. 2台 for each one.","从自己手牌中声明四张相同的牌。每组计 2 台。","從自己手牌中宣告四張相同的牌。每組計 2 台。","ai_draft"
"scoring.concealedKongBuild","Concealed Kong guide strategy","Draw the fourth tile of a triplet you already hold and declare it.","摸到手中已有刻子的第四张相同牌后声明暗杠。","摸到手中已有刻子的第四張相同牌後宣告暗槓。","ai_draft"
"scoring.concealedKongCost","Concealed Kong guide trade-off","A Kong draws a replacement tile and opens a rob window on an added Kong.","杠牌后会补摸一张牌；加杠时也会开启抢杠胡窗口。","槓牌後會補摸一張牌；加槓時也會開啟搶槓胡窗口。","ai_draft"
"scoring.exposedKongWhat","Exposed or Added Kong guide definition","A Kong completed from a discard, or added to a melded Pong. 1台 for each one.","利用弃牌完成的杠，或在已副露的碰牌上加杠。每组计 1 台。","利用棄牌完成的槓，或在已副露的碰牌上加槓。每組計 1 台。","ai_draft"
"scoring.exposedKongUpgrade","Exposed or Added Kong guide upgrade","The same four tiles kept in hand are worth double.","同样四张牌若保留在手中组成暗杠，价值翻倍。","同樣四張牌若保留在手中組成暗槓，價值翻倍。","ai_draft"
"scoring.singleWaitWhat","Single Wait guide definition","The hand was waiting on exactly one tile when it won.","胡牌时手牌恰好只等待一种牌。","胡牌時手牌恰好只等待一種牌。","ai_draft"
"scoring.singleWaitBuild","Single Wait guide strategy","Not chased directly — it is the shape a narrow wait leaves behind.","不必刻意追求——它是窄听牌自然形成的牌型。","不必刻意追求——它是窄聽牌自然形成的牌型。","ai_draft"
"scoring.replacementWhat","Win After Replacement guide definition","Won on the replacement tile drawn after a flower or a Kong.","在花牌或杠牌后补摸的牌上胡牌。","在花牌或槓牌後補摸的牌上胡牌。","ai_draft"
"scoring.lastTileWhat","Last Tile Zimo guide definition","Self-drew the winning tile as the last drawable tile of the wall.","自摸牌墙中最后一张可摸牌并胡牌。","自摸牌牆中最後一張可摸牌並胡牌。","ai_draft"
"scoring.robbingWhat","Robbing an Added Kong guide definition","Won on the tile an opponent added to their melded Pong.","利用对手为已碰牌加杠的那张牌胡牌。","利用對手為已碰牌加槓的那張牌胡牌。","ai_draft"
"scoring.robbingBuild","Robbing an Added Kong guide strategy","Watch for a Kong added to a meld you were already waiting on.","留意对手是否将你正在等待的牌加到已副露的碰牌上。","留意對手是否將你正在等待的牌加到已副露的碰牌上。","ai_draft"
"scoring.matchingFlowerWhat","Matching Flower guide definition","A flower or season matching your seat position.","与自己座位位置相配的花牌或季节牌。","與自己座位位置相配的花牌或季節牌。","ai_draft"
"scoring.matchingFlowerBuild","Matching Flower guide strategy","Flowers are drawn, not chosen — they replace themselves automatically.","花牌由摸牌获得，无法选择——摸到后会自动补牌。","花牌由摸牌獲得，無法選擇——摸到後會自動補牌。","ai_draft"
"scoring.completeFlowersWhat","Complete Flowers guide definition","All four flowers.","集齐四张花牌。","集齊四張花牌。","ai_draft"
"scoring.completeSeasonsWhat","Complete Seasons guide definition","All four seasons.","集齐四张季节牌。","集齊四張季節牌。","ai_draft"
"scoring.eightFlowersWhat","Eight Flowers guide definition","All eight flowers and seasons — an immediate win in its own right.","集齐八张花牌与季节牌——可立即胡牌。","集齊八張花牌與季節牌——可立即胡牌。","ai_draft"
"scoring.heavenlyWhat","Heavenly Hand guide definition","The dealer's opening hand was already complete. The largest hand in the game.","庄家的起手牌已经完成，是游戏中价值最高的手牌。","莊家的起手牌已經完成，是遊戲中價值最高的手牌。","ai_draft"
"scoring.earthlyWhat","Earthly Hand guide definition","A non-dealer won on the dealer's very first discard.","非庄家利用庄家的第一张弃牌胡牌。","非莊家利用莊家的第一張棄牌胡牌。","ai_draft"
"friends.title","Friends panel title","Friends","好友","好友","ai_draft"
"friends.loading","Friends loading status","Loading friends…","正在加载好友…","正在載入好友…","ai_draft"
"friends.ownIdError","Attempt to friend oneself","That is your own player ID.","这是你自己的玩家 ID。","這是你自己的玩家 ID。","ai_draft"
"friends.requests","Incoming friend request count","Friend requests ({count})","好友请求（{count}）","好友邀請（{count}）","ai_draft"
"friends.accept","Accept friend request","Accept","接受","接受","ai_draft"
"friends.decline","Decline friend request","Decline","拒绝","拒絕","ai_draft"
"friends.yours","Friend count heading","Your friends ({count})","你的好友（{count}）","你的好友（{count}）","ai_draft"
"friends.empty","Empty friend list","No friends yet. Share your player ID below and add theirs.","还没有好友。请分享下方的玩家 ID，并添加对方的 ID。","還沒有好友。請分享下方的玩家 ID，並新增對方的 ID。","ai_draft"
"friends.invite","Invite friend to party","Invite","邀请","邀請","ai_draft"
"friends.offlineTitle","Disabled invite explanation","They are offline","对方当前离线","對方目前離線","ai_draft"
"friends.partyFullTitle","Disabled invite explanation","Your party is full","你的队伍已满","你的隊伍已滿","ai_draft"
"friends.sent","Outgoing request count","Sent ({count})","已发送（{count}）","已傳送（{count}）","ai_draft"
"friends.addById","Add-friend form label","Add a friend by player ID","使用玩家 ID 添加好友","使用玩家 ID 新增好友","ai_draft"
"friends.pasteId","Player-ID input placeholder","Paste their player ID","粘贴对方的玩家 ID","貼上對方的玩家 ID","ai_draft"
"friends.add","Add friend action","Add","添加","新增","ai_draft"
"friends.yourId","Current player's shareable ID","Your player ID: {id}","你的玩家 ID：{id}","你的玩家 ID：{id}","ai_draft"
"friends.online","Friend presence","Online","在线","線上","ai_draft"
"friends.inMatch","Friend presence","In a match","对局中","對局中","ai_draft"
"friends.offline","Friend presence","Offline","离线","離線","ai_draft"
